contract_id,summary,termination_clause,confidentiality_clause,liability_clause,error
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement,"The Real Estate Education Training Program Development Agreement is between T&B Seminars, Inc. and Legacy Education Alliance Holdings, Inc. to develop and operate a real estate education business using Tarek El Moussa's intellectual property. T&B grants LEA an exclusive license to use the intellectual property, and LEA must use it only as permitted by the agreement. T&B retains ownership of the intellectual property and has the right to terminate the license if certain conditions are not met. LEA must not use the intellectual property to compete with T&B, and both parties must cooperate in protecting the intellectual property from infringement. The agreement has a five-year term, renewable for successive five-year terms, with termination penalties if certain benchmarks are not met.",Clause Not Present,"8.1. Each party acknowledges the other’s Confidential Information is unique and valuable and was developed or otherwise acquired by the other at great expense, and that any unauthorized disclosure or use of the other’s Confidential Information would cause the other irreparable injury loss for which damages would be an inadequate remedy. The party agrees to hold such Confidential Information in strictest confidence, to use all efforts reasonable under the circumstances to maintain the secrecy thereof, and not to make use thereof other than in accordance with this Agreement, and not to release or disclose Confidential Information to any third party without the other’s prior written consent, subject to a court order, or subject to a sublicense consistent with this Agreement and requiring the sublicensee to maintain the Confidential Information in strictest confidence, to use all efforts reasonable under the circumstances to maintain the secrecy thereof, not to make use thereof other than in accordance with the sublicense Agreement, and not to release or disclose Confidential Information to any third party without the other’s prior written consent.","EXCEPT FOR AMOUNTS PAYABLE TO THIRD PARTIES IN CONNECTION WITH CLAIMS SUBJECT TO THE INDEMNIFICATION PROVISIONS OF SECTION 9.1 OR A BREACH OF EITHER PARTY’S OBLIGATIONS UNDER SECTION 5 (CONFIDENTIALITY), NEITHER PARTY WILL, UNDER ANY CIRCUMSTANCES, BE LIABLE TO THE OTHER PARTY FOR ANY LOST PROFITS OR ANY OTHER SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES ARISING OUT OF OR RELATING TO THIS AGREEMENT EVEN IF THE PARTY HAS BEEN NOTIFIED OF THE POSSIBILITY OF SUCH DAMAGES.",
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement,"The co-branding agreement between About.com and ebix.com aims to create an independent co-branded channel on the About Network for insurance information. About.com will provide its network and user data, while ebix.com will provide insurance content. The parties will collaborate to promote the Insurance Center and ebix Site. Each party has obligations to maintain the co-branded channel and provide promotional impressions. The agreement defines various terms, including About Content, ebix Content, and Advertising Placements. However, specific risks or penalties are not explicitly stated in the provided excerpt.","13.1 eBix may terminate this Agreement, [**] upon [**] to About; provided, however, that the termination is no earlier than [**] of the Effective Date of this Agreement. 13.2 Either party may terminate this Agreement if the other (i) fails to make any payment required to be made by it hereunder for more than twenty (20) business days after such party shall have received notice from the other party of the failure of payment thereof, or (ii) commits a material breach of this Agreement that is not cured within thirty (30) calendar days after receipt of written notice of the breach. 13.3 Either party may terminate immediately upon written notice if the other party (i) ceases to function as a going concern or to conduct operations in the normal course of business; (ii) has a petition filed against it under any state or federal bankruptcy law which petition has not been dismissed or set aside within ninety (90) days of its filing","The recipient of such Confidential Information shall hold such Confidential Information in confidence, shall not use it except to further its relationship with the other party under this Agreement, and shall not publish or disclose it to third parties unless authorized in writing by the disclosing party. These restrictions shall not apply to any Confidential Information: (i) after it has become generally available to the public without breach of this Agreement by the receiving party; (ii) is rightfully in the receiving party's possession before disclosure to it by the disclosing party; (iii) is independently developed by the receiving party; (iv) rightfully received by the receiving party from a third party without confidentiality; or (v) is required to be disclosed under operation of law or administrative process. Upon expiration or termination of this Agreement for any reason, each party will promptly and at the direction of the other party, either destroy or return to the disclosing party, and will not take or use, all items of any nature which belong to the disclosing party and all records (in any form, format or medium) containing or relating to Confidential Information. The parties' obligations under this Section 12 shall survive the termination or non-renewal of this Agreement.",Clause Not Present,
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement,"The Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc. aims to formalize their prior verbal understandings regarding the marketing and support of certain technology. Mount Knowledge Holdings Inc. is granted the right to advertise, market, and sell the technology to clients, while Birch First Global Investments Inc. agrees to provide the technology and support. Both parties have obligations, including Mount Knowledge Holdings Inc.'s duty to use its best efforts to market and license the technology, and Birch First Global Investments Inc.'s commitment to provide the technology and training. The agreement also outlines payment terms and imposes a late payment charge of 1.5% per month on outstanding balances.","Either party may cancel this Agreement upon the occurrence of any of the following: Material breach of any covenant, term, condition or other provisions of this Agreement, which breach is not remedied within ten (10) days after notice of such breach is received by the breaching party; Bankruptcy, reorganization, arrangement or insolvency proceedings being instituted by or against a party; An assignment by a party for the benefit of its creditors; Consenting to the appointment of a trustee or receiver by a party, or a trustee or receiver being appointed for a party or for a substantial part of its assets. This Agreement may be terminated by either party at the expiration of its term or any renewal term upon thirty (30) days written notice to the other party.","""Confidential Information"" Defined. ""Confidential Information"" includes: (a) the Technology (b) any personally identifiable data or information regarding any end user; (c) any and all information disclosed by Company to MA, in whatever format, that is either identified as or would reasonably be understood to be confidential and/or proprietary; (d) any notes, extracts, analyses or materials prepared by MA which are copies of or derivative works of Confidential Information or from which Confidential Information can be inferred or otherwise understood; and (e) the terms and conditions of this Agreement. ""Confidential Information"" does not include information received from Company that MA can clearly establish by written evidence: (x) is or becomes known to MA from a third party without an obligation to maintain its confidentiality; (y) is or becomes generally known to the public through no act or omission of MA; or (z) is independently developed by MA without the use of Confidential Information. MA will make no use of Confidential Information for any purpose except as expressly authorized by this Agreement. Except as expressly provided in this Agreement, MA will not disclose Confidential Information to any third party and will protect and treat all Confidential Information with the same degree of care as it uses to protect its own confidential information of like importance, but in no event with less than reasonable care.","IN NO EVENT SHALL COMPANY BE LIABLE TO “MA”, ITS CLIENTS, OR ANY THIRD PARTY FOR ANY TORT OR CONTRACT DAMAGES OR INDIRECT, SPECIAL, GENERAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES, INCLUDING BUT NOT LIMITED TO, LOSS OF PROFITS OR ANTICIPATED PROFITS AND LOSS OF GOODWILL, ARISING IN CONNECTION WITH THE USE (OR INABILITY TO USE) OR DISTRIBUTION OF THE TECHNOLOGY FOR ANY PURPOSE WHATSOEVER.",
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement,"The purpose of this Collaborative Research, Development and Commercialization Agreement is for Revolution Medicines and Sanofi to collaborate on the research, development, and potential commercialization of drug candidates that inhibit the activity of a specific cancer target. Revolution Medicines will grant Sanofi certain licenses, and Sanofi will work to develop and commercialize novel therapies. Each party has obligations to contribute to the collaboration, with Revolution Medicines providing expertise in cancer biology and Sanofi working to develop and commercialize the products. The agreement outlines various definitions and terms, but does not specify notable risks or penalties, such as liability caps or termination penalties, in the provided excerpt.","(a) Terminations by Sanofi. (i) Termination by Sanofi for Convenience. Sanofi may terminate this Agreement (A) in its entirety by providing [***] written notice of termination to RevMed or (B) on a country-by-country or Product-by-Product basis by providing [***] written notice of termination to RevMed; (b) Termination for Material Breach. If either Party believes that the other is in material breach of this Agreement, then the non-breaching Party may deliver notice of such breach to the other Party.","11.1 Duty of Confidence. At all times during the Term and for a period of [***] thereafter, subject to the other provisions of this Article XI: (a) all Confidential Information of a Party (the “Disclosing Party”) shall be maintained in confidence and otherwise safeguarded by the other Party (the “Receiving Party”) and its Affiliates, using commercially reasonable efforts, but in any event no less than in the same manner and the same protections with which the Receiving Party maintains its own confidential information; and (b) the Receiving Party may only use any such Confidential Information for the purposes of performing its obligations or exercising its rights under this Agreement or any Ancillary Agreement.","NEITHER PARTY SHALL BE LIABLE TO THE OTHER FOR ANY SPECIAL, CONSEQUENTIAL, INCIDENTAL, PUNITIVE, OR INDIRECT DAMAGES OR LOST PROFITS ARISING FROM OR RELATING TO ANY BREACH OF THIS AGREEMENT, REGARDLESS OF ANY NOTICE OF THE POSSIBILITY OF SUCH DAMAGES.",
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement,"The Co-Branding Agreement between VerticalNet and Neoforma aims to establish a partnership for co-branded career and training centers. VerticalNet and Neoforma agree to work together, sharing resources and intellectual property. Each party is obligated to deliver specific content and services, with VerticalNet providing certain listings and Neoforma providing career and training content. The agreement outlines various definitions and terms, but does not specify notable risks or penalties, such as liability caps or termination penalties, within the provided excerpt.","11.1 AUTOMATIC RENEWAL. This Agreement will automatically renew at the end of the Initial Term or a subsequent renewal term on a year to year basis (each, a ""Renewal Term""), unless either Party notifies the other at least 30 days prior to the end of the Initial Term or then current Renewal Term, as applicable, of its intention not to renew this Agreement (a ""Termination Notice""). 11.2 TERMINATION FOR CAUSE. Either Party may terminate this Agreement immediately upon written notice to the other Party in the event any material breach of a material term of this Agreement by such other Party that remains uncured 30 days in the case of a breach of a payment obligation, or 45 days for all other breaches, after notice of such breach was received by such other Party;","13.1 CONFIDENTIALITY OBLIGATIONS. Except as permitted elsewhere under this Agreement, each Party agrees to take Reasonable Steps (as defined below) (a) to receive and maintain the Confidential Information of the other Party in confidence, (b) not to disclose such Confidential Information to any third parties and (c) to promptly notify the disclosing Party upon learning of any law, rule, regulation or court order that purports to compel disclosure of any Confidential Information of the disclosing Party and to reasonably cooperate with the disclosing Party in the exercise of the disclosing Party's right to protect the confidentiality of such Confidential Information. Neither Party hereto shall use all or any part of the Confidential Information of the other Party for any purpose other than to perform its obligations under this Agreement. The Parties will take Reasonable Steps (as defined below) to ensure that their employees, representatives and agents comply with this provision. As used herein, 'Reasonable Steps' means at least the same degree of care that the receiving Party uses to protect its own Confidential Information, and, in no event, no less than reasonable care. 13.3 TERMINATION. Upon termination of this Agreement, all Confidential Information shall be returned to the disclosing Party or destroyed unless otherwise specified or permitted elsewhere under this Agreement. The confidentiality obligations contained in this Article 13 [CONFIDENTIALITY] shall survive termination of this Agreement for a period of three years.","15.3 LIMITATION OF LIABILITY. EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF ARTICLE 13, THE INDEMNIFICATION OBLIGATIONS OF NEOFORMA UNDER SECTIONS 15.4(c) [INDEMNIFICATION BY NEOFORMA] AND (d) AND THE INDEMNIFICATION OBLIGATIONS OF VERTICALNET UNDER SECTION 15.5(c) [INDEMNIFICATION BY VERTICALNET] AND (d), NEITHER PARTY WILL BE LIABLE FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY OR INCIDENTAL DAMAGES ARISING OUT OF OR RELATED TO THIS AGREEMENT, HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY (INCLUDING NEGLIGENCE), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES. EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF ARTICLE 13, THE INDEMNIFICATION OBLIGATIONS OF NEOFORMA UNDER SECTION 15.4(c) [INDEMNIFICATION BY NEOFORMA] AND (d) AND THE INDEMNIFICATION OBLIGATIONS OF VERTICALNET UNDER SECTION 15.5(c) [INDEMNIFICATION BY VERTICALNET] AND (d), EACH PARTY'S LIABILITY FOR DAMAGES HEREUNDER SHALL NOT EXCEED $1,000,000.",
MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement,"This co-branding agreement between Lucent Technologies and mPhase Technologies allows mPhase to use Lucent's name, logo, and slogan on certain products and marketing materials. mPhase must follow Lucent's guidelines and obtain approval for each use. Lucent can terminate the agreement if mPhase's use adversely affects Lucent's rights or if mPhase breaches the agreement. The agreement has a one-year term and can be renewed annually with Lucent's consent. Either party can terminate with 30 days' notice. The agreement limits liability for special, incidental, or consequential damages, and mPhase cannot assign the agreement without Lucent's consent.","Any attempt to do so shall be a breach of this Agreement and Lucent may terminate this Agreement without notice in the event of such a breach. This Agreement shall terminate in the event of a significant change in the management or ownership of mPhase or in the event mPhase is the subject of any bankruptcy proceedings. If Lucent determines that mPhase's Goods are no longer maintained at the current level of quality, Lucent shall so notify mPhase, in writing, and Lucent shall have the right to terminate this Agreement. Either party wishing to terminate the Agreement must give written notice to the other party at least thirty (30) days prior to the desired date of termination.",Clause Not Present,"Neither Party shall be liable to the other for special, incidental, or consequential damages, even if such Party has been advised of the possibility of such damages.",
LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement,"The Co-Branding Agreement between VerticalNet and LeadersOnline aims to allow LeadersOnline to advertise its job placement services on VerticalNet's Online Communities. LeadersOnline must purchase a minimum amount of Banners and Newsletter Ads from VerticalNet, with prices offered at a discount. VerticalNet will host and maintain the Banners and Employer Spotlights, while LeadersOnline will host and maintain the VerticalNet Branded Link on its site. The agreement outlines the terms and conditions for the partnership, including the use of proprietary marks and intellectual property, but specific details such as prices and discounts are omitted due to a confidential treatment request.",Clause Not Present,"9.1. Confidentiality Obligations. Except as permitted elsewhere under this Agreement, each Party agrees to take Reasonable Steps (as defined below) (a) to receive and maintain the Confidential Information of the other Party in confidence and (b) not to disclose such Confidential Information to any third parties, provided, the receiving Party may disclose such Confidential Information to its employees, representatives and agents who have a need to know such information for purposes of carrying out the terms of this Agreement. Neither Party hereto shall use all or any part of the Confidential Information of the other Party for any purpose other than to perform its obligations under this Agreement. The Parties will take Reasonable Steps (as defined below) to ensure that their employees, representatives and agents comply with this provision. As used herein, ""Reasonable Steps"" means at least the same degree of care that the receiving Party uses to protect its own Confidential Information, and, in any event, no less than reasonable care. 9.2. Exclusions. ""Confidential Information"" does not include information that (a) is or becomes publicly available through no fault of the receiving Party; (b) was already known to the receiving Party at the time it was disclosed to the receiving Party, as evidenced by records of the receiving Party; (c) is independently developed by employees of the receiving Party who had no knowledge of or access to such information, as evidenced by records of the receiving Party; (d) is received from a third party who is under no obligation of confidentiality to the disclosing Party; or (e) must be disclosed pursuant to applicable laws, rules or regulations; provided, however, that the receiving Party first gives the disclosing Party notice and a reasonable opportunity to secure confidential protection of such Confidential Information. 9.3. Termination. Subject to Section 12.12 [Survival], upon termination of this Agreement, all Confidential Information shall be returned to the disclosing Party or, at the request of the disclosing Party, destroyed unless otherwise specified or permitted elsewhere under this Agreement. The confidentiality obligations contained in this Article 9 shall survive termination of this Agreement for a period of three (3) years.",Clause Not Present,
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement,"The purpose of this co-branding agreement is for Women.com and eDiets to establish a custom co-branded center on Women.com's site, promoting eDiets' brand and driving traffic to their site. Women.com will host the center and provide links to it, while eDiets will provide content and maintain the center beneath the gateway page. Each party bears its own expenses, and eDiets grants Women.com a non-exclusive license to use eDiets' content. If Women.com fails to deliver a certain amount of advertising impressions, eDiets may terminate the agreement, and Women.com will reimburse eDiets for undelivered impressions. The agreement also establishes exclusivity terms, restricting Women.com from promoting competing diet companies within the co-branded center.",Clause Not Present,Clause Not Present,Clause Not Present,
ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement,"The Non-Exclusive Distributor Agreement between iMine Corporation and SUNWAI Technology allows SUNWAI to distribute iMine's cryptocurrency mining rig products in Taiwan. SUNWAI must use its best efforts to market and sell the products, and not modify them without iMine's consent. iMine has the right to revise prices and reject orders. SUNWAI must maintain an inventory of products and provide reports to iMine. The agreement does not specify liability caps or termination penalties, but notes that orders for products are non-cancelable and non-returnable, with some exceptions subject to iMine's written approval.","12.2 Termination for Convenience. This Agreement may be terminated by either party for any reason or no reason, whether or not extended beyond the initial term, by giving the other party written notice ninety (90) days in advance. 12.3 Termination for Cause . Except as set forth in the last sentence of this Section 12.3, if either party defaults in the performance of any material provision of this Agreement, then the non-defaulting party may give written notice to the defaulting party that if the default is not cured within thirty (30) days the Agreement will be terminated.","9.1 Nondisclosure, Non Use . Each party shall treat as confidential all Confidential Information of the other party, shall not use such Confidential Information except as set forth herein, and shall use reasonable efforts not to disclose such Confidential Information to any third party. Without limiting the foregoing, each of the parties shall use at least the same degree of care which it uses to prevent the disclosure of its own confidential information of like importance to prevent the disclosure of Confidential Information disclosed to it by the other party under this Agreement. Each party shall promptly notify the other party of any actual or suspected misuse or unauthorized disclosure of the other party’s Confidential Information. 9.2 Exception. Notwithstanding the above, neither party shall have liability to the other with regard to any Confidential Information of the other which the receiving party can prove: (a) was in the public domain at the time it was disclosed or has entered the public domain through no fault of the receiving party; (b) was known to the receiving party, without restriction, at the time of disclosure, as demonstrated by files in existence at the time of disclosure; (c) is disclosed with the prior written approval of the disclosing party; (d) was independently developed by the receiving party without any use of the Confidential Information, as demonstrated by files created at the time of such independent development; (e) becomes known to the receiving party, without restriction, from a source other than the disclosing party without breach of this Agreement by the receiving party and otherwise not in violation of the disclosing party’s rights; (f) is disclosed generally to third parties by the disclosing party without restrictions similar to those contained in this Agreement; or (g) is disclosed pursuant to the order or requirement of a court, administrative agency, or other governmental body; provided, however, that the receiving party shall provide prompt notice thereof to the disclosing party to enable the disclosing party to seek a protective order or otherwise prevent or restrict such disclosure.",Clause Not Present,
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement,"The Co-Branding and Services Agreement between RSL COM PrimeCall, Inc. and deltathree.com, Inc. aims to co-brand a prepaid IP telephony calling card. PrimeCall will provide services such as printing, toll-free access, pricing, and sales, while DeltaThree will develop a website for PrimeCall and provide internet advertisements. Both parties will grant each other a limited license to use their proprietary marks. The agreement has a term of three years, unless terminated earlier due to material breach or bankruptcy. Termination for cause requires a 30-day cure period, and either party may terminate if the other breaches its duties.","Section 6.01 [Termination for Cause]. Termination for Cause. In the event that either PrimeCall or DeltaThree materially breaches any of its duties or obligations hereunder, which breach shall not be cured within thirty (30) days after written notice is given to the breaching party specifying the breach, then either PrimeCall or DeltaThree, as the case may be, may, by giving written notice thereof to the other, terminate this Agreement as of a date specified in such notice of termination, which date shall be no earlier than ten (10) days after the date of such notice. Section 6.02 [Termination for Bankruptcy]. Termination for Bankruptcy. In the event of the Bankruptcy (as hereinafter defined) of either PrimeCall or DeltaThree, then the non-bankrupt party may, by written notice thereof to the party in Bankruptcy, terminate this Agreement as of a date specified in such notice of termination, which date shall be no earlier than ten (10) days after the date of such notice.","PrimeCall and DeltaThree each agree that for the longest period permitted by law each shall hold in strictest confidence and, without the prior written approval of the other party hereto, not to use for their own benefit or the benefit of any party other than the other party hereto, or disclose to any person, firm or corporation other than such party (other than as required by law) any confidential proprietary information concerning the business and affairs of the other party hereto; provided, however, that the foregoing limitations and restrictions shall not apply to information that (i) is or becomes generally available to the public other than as a result of a disclosure by the directors, officers, shareholders, partners, affiliates, employees, agents or advisors of PrimeCall or DeltaThree, as the case may be, or (ii) is or becomes available to PrimeCall or DeltaThree on a non-confidential basis from a source other than the other party hereto or any of its advisors, agents or affiliates, provided that such source is not known by PrimeCall or DeltaThree, as the case may be, to be bound by a confidentiality agreement with or other obligation of secrecy to the other party hereto.",Clause Not Present,
